# caps-prefix	client name	icon file
# Generated by build_clients.py from index.html
https://code.google.com/p/qxmpp	MeegIM [Qxmpp]	meegim.png
https://jajc.jrudevels.org/caps	JAJC	jajc.png
https://jtalk.ustyugov.net/caps	jTalk	jtalk.png
https://nightly.miranda.im/caps	Miranda NG (old)	miranda-ng.png
https://pjc.googlecode.com/caps	JuBo	jubo.png
https://securityjabber.com/caps	Security Jabber	sj.png
https://simpleapps.ru/xmpp/caps	AntiHack	antihack-bot.png
https://web-am31.dyndns-ip.com/	WEB Client	webclient.png
http://chat.jabbercity.ru/caps	WEB Client	webclient.png
http://code.google.com/p/qxmpp	MeegIM [Qxmpp]	meegim.png
http://jajc.jrudevels.org/caps	JAJC	jajc.png
http://jtalk.ustyugov.net/caps	jTalk	jtalk.png
http://nightly.miranda.im/caps	Miranda NG (old)	miranda-ng.png
http://pjc.googlecode.com/caps	JuBo	jubo.png
http://securityjabber.com/caps	Security Jabber	sj.png
http://simpleapps.ru/xmpp/caps	AntiHack	antihack-bot.png
http://web-am31.dyndns-ip.com/	WEB Client	webclient.png
https://freomessenger.com/caps	Freo	freo.png
https://hipchat.com/client/bot	Hipchat Bot	hipchat.png
https://profanity-im.github.io	Profanity	profanity.png
http://freomessenger.com/caps	Freo	freo.png
http://hipchat.com/client/bot	Hipchat Bot	hipchat.png
http://profanity-im.github.io	Profanity	profanity.png
https://apps.radio-t.com/caps	AIR Radio-T	radio-t.png
https://bitlbee.org/xmpp/caps	BitlBee	bitlbee.png
https://bombus-im.org/android	BombusLime	bombuslime.png
https://bombusmod.net.ru/caps	BombusMod	bombusmod.png
https://fatal-bot.spb.ru/caps	Fatal (old)	fatal-bot.png
https://fatal-dev.ru/bot/caps	Fatal	fatal-bot.png
https://jabbroid.akuz.de/caps	Jabbroid	jabbroid.png
https://online.yandex.ru/caps	YaOnline	yaonline.png
https://stranger.kiev.ua/caps	Fin Jimm (old)	fj.png
http://apps.radio-t.com/caps	AIR Radio-T	radio-t.png
http://bitlbee.org/xmpp/caps	BitlBee	bitlbee.png
http://bombus-im.org/android	BombusLime	bombuslime.png
http://bombusmod.net.ru/caps	BombusMod	bombusmod.png
http://fatal-bot.spb.ru/caps	Fatal (old)	fatal-bot.png
http://fatal-dev.ru/bot/caps	Fatal	fatal-bot.png
http://jabbroid.akuz.de/caps	Jabbroid	jabbroid.png
http://online.yandex.ru/caps	YaOnline	yaonline.png
http://stranger.kiev.ua/caps	Fin Jimm (old)	fj.png
https://chat.freize.org/caps	Freize Web Chat	freize.png
https://dev.jabbim.cz/jdisk/	Jabber Disk	jdisk.png
https://github.com/vacuum-im	Vacuum-IM New	vacuum.png
https://isida.googlecode.com	iSida (old)	isida-bot.png
https://jabiru.mzet.net/caps	Jabiru	jabiru.png
https://japyt.googlecode.com	JaPyT	japyt.png
https://leechcraft.org/azoth	LeechCraft Azoth	leechcraft.png
https://messenger.freelab.cc	Freelab_Messenger	flm.png
https://tigase.org/messenger	Tigase Messenger	tigase.png
https://www.barobin.com/caps	Bayan-ICQ	bayanicq.png
https://www.beem-project.com	Beem	beem.png
https://xu-6.jabbrik.ru/caps	XU-6	xu6-bot.png
http://chat.freize.org/caps	Freize Web Chat	freize.png
http://dev.jabbim.cz/jdisk/	Jabber Disk	jdisk.png
http://github.com/vacuum-im	Vacuum-IM New	vacuum.png
http://isida.googlecode.com	iSida (old)	isida-bot.png
http://jabiru.mzet.net/caps	Jabiru	jabiru.png
http://japyt.googlecode.com	JaPyT	japyt.png
http://leechcraft.org/azoth	LeechCraft Azoth	leechcraft.png
http://messenger.freelab.cc	Freelab_Messenger	flm.png
http://tigase.org/messenger	Tigase Messenger	tigase.png
http://www.barobin.com/caps	Bayan-ICQ	bayanicq.png
http://www.beem-project.com	Beem	beem.png
http://xu-6.jabbrik.ru/caps	XU-6	xu6-bot.png
https://chat.andreymal.org/	WebChat	webchat.png
https://miranda-im.org/caps	Miranda	miranda.png
https://miranda-ng.org/caps	Miranda NG	miranda-ng.png
https://pako.googlecode.com	Pako	pako-bot.png
https://voffk.org.ru/bombus	Bombus+	bombusplus.png
https://www.jabbin.com/caps	Jabbin	jabbin.png
http://chat.andreymal.org/	WebChat	webchat.png
http://miranda-im.org/caps	Miranda	miranda.png
http://miranda-ng.org/caps	Miranda NG	miranda-ng.png
http://pako.googlecode.com	Pako	pako-bot.png
http://voffk.org.ru/bombus	Bombus+	bombusplus.png
http://www.jabbin.com/caps	Jabbin	jabbin.png
https://bombus-im.org/java	Bombus (old)	bombus-old.png
https://fin.jabber.ru/caps	Capsula [Talisman]	capsula-bot.png
https://imadering.com/caps	IMadering	imadering.png
https://jabber.pdg.pl/caps	BombusKlub (old)	bombusklub.png
https://jasmineicq.ru/caps	Jasmine	jasmine.png
https://klub54.wen.ru/caps	BombusKlub	bombusklub.png
